country,continent,gdp_per_capita,life_expectancy,population
Afghanistan,Asia,663,54.863,22856302
Albania,Europe,4195,74.2,3071856
Algeria,Africa,5098,68.96300000000001,30533827
Angola,Africa,2446,45.233999999999995,13926373
Antigua and Barbuda,N. America,12738,73.544,77656
Argentina,S. America,10571,73.822,36930709
Armenia,Europe,2114,71.494,3076098
Australia,Oceania,29241,79.93,19164351
Austria,Europe,32008,78.33,8004712
Azerbaijan,Europe,2533,66.851,8110723
Bahamas,N. America,22728,72.37,297651
Bahrain,Asia,22015,74.497,638193